benchmark_id,statistic,confidence_level,lower_bound_ns,point_estimate_ns,upper_bound_ns
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=bounded_4096/encoding=adaptive_u8,median,0.95,5116.928669857847,5149.070523281114,5177.9782644846455
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=empty/encoding=adaptive_u8,median,0.95,5.456680981932269,5.511897451882342,5.56308581943949
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=one_exact/encoding=adaptive_u8,median,0.95,61.30643755517011,61.67175691773204,62.21006915571197
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=bounded_4096/encoding=adaptive_u16,median,0.95,5164.90634151676,5171.389533154921,5194.025695349848
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=empty/encoding=adaptive_u16,median,0.95,5.430477305777135,5.446099705327938,5.478052475341375
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=one_exact/encoding=adaptive_u16,median,0.95,61.809759983993814,62.58560236288753,63.125031432945995
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=bounded_4096/encoding=adaptive_u16,median,0.95,119324.11458333334,120274.97097744362,120901.78246527778
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=empty/encoding=adaptive_u16,median,0.95,5.420958492209561,5.435014326254949,5.4485879006444105
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=one_exact/encoding=adaptive_u16,median,0.95,59.66316026119447,59.894699704500596,60.387975565192065
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=bounded_4096/encoding=adaptive_u32,median,0.95,119633.15281965383,119913.80531825796,120186.03162743543
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=empty/encoding=adaptive_u32,median,0.95,5.391505225660423,5.420827067098088,5.4508880209520125
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=one_exact/encoding=adaptive_u32,median,0.95,57.93022932685865,58.9592867664134,59.601156530551165
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=bounded_4096/encoding=adaptive_u32,median,0.95,116110.1420361248,116420.25862068965,117597.37972085386
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=empty/encoding=adaptive_u32,median,0.95,5.359444902247885,5.377526190212247,5.418635455321478
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=one_exact/encoding=adaptive_u32,median,0.95,58.70629974574758,59.107337774766634,59.90082592245443
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=first/encoding=adaptive_u8,median,0.95,8.022479879480368,8.062537385822022,8.09851981600162
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=last/encoding=adaptive_u8,median,0.95,8.170396941488333,8.230316769356529,8.298594503669843
