benchmark_id,statistic,confidence_level,lower_bound_ns,point_estimate_ns,upper_bound_ns
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=bounded_4096/encoding=adaptive_u8,median,0.95,4925.575363701408,4950.62677031163,4980.527667512643
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=empty/encoding=adaptive_u8,median,0.95,5.301836586854093,5.311289708870282,5.322908880132828
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=one_exact/encoding=adaptive_u8,median,0.95,58.59389275788263,59.02741270804715,59.82131255673778
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=bounded_4096/encoding=adaptive_u16,median,0.95,5041.739003096953,5058.389962764451,5076.336451331399
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=empty/encoding=adaptive_u16,median,0.95,5.3117367054366085,5.330846475092175,5.339359731697838
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=one_exact/encoding=adaptive_u16,median,0.95,58.181877520841084,58.60987981609246,59.04415317728325
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=bounded_4096/encoding=adaptive_u16,median,0.95,114678.15950226245,115042.4637254902,115637.76189309057
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=empty/encoding=adaptive_u16,median,0.95,5.296106152581276,5.311570413952046,5.3287919751274595
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=one_exact/encoding=adaptive_u16,median,0.95,58.92435136551718,60.03852468106622,60.478388220118795
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=bounded_4096/encoding=adaptive_u32,median,0.95,113707.3963737094,114369.81713340839,115364.47355734378
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=empty/encoding=adaptive_u32,median,0.95,5.301792519862775,5.324210374098443,5.343121833310221
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=one_exact/encoding=adaptive_u32,median,0.95,59.33558789173934,59.748875512636886,60.400583504274366
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=bounded_4096/encoding=adaptive_u32,median,0.95,114800.84516260162,115942.11414634145,116387.44918699187
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=empty/encoding=adaptive_u32,median,0.95,5.323560262620534,5.338165167657739,5.3577690983454875
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=one_exact/encoding=adaptive_u32,median,0.95,57.31879167014685,57.99049089500638,58.267649084688216
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=first/encoding=adaptive_u8,median,0.95,8.059664780573222,8.080654612584286,8.099539677774022
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=last/encoding=adaptive_u8,median,0.95,8.188682149684528,8.216102140776941,8.228990498092124
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=missing/encoding=adaptive_u8,median,0.95,8.940288834298547,8.962743981773642,8.992177359101962
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=first/encoding=adaptive_u16,median,0.95,8.040207946273288,8.064354875063286,8.089376924492502
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=last/encoding=adaptive_u16,median,0.95,8.184461066660507,8.21827666202421,8.235355802810517
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=missing/encoding=adaptive_u16,median,0.95,8.934544496055107,8.949057681846767,8.972774535866542
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=first/encoding=adaptive_u16,median,0.95,8.083089843059852,8.111143134490124,8.145952957963445
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=last/encoding=adaptive_u16,median,0.95,9.133994589779132,9.175067971231059,9.196332168783082
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=missing/encoding=adaptive_u16,median,0.95,8.960088486179647,8.984996682112104,9.058647936558568
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=first/encoding=adaptive_u32,median,0.95,8.066981116500969,8.092857076981296,8.104848679225967
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=last/encoding=adaptive_u32,median,0.95,9.194457883884766,9.221335049096517,9.261489899146937
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=missing/encoding=adaptive_u32,median,0.95,9.177223263655103,9.210873095276021,9.236687896821355
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=first/encoding=adaptive_u32,median,0.95,8.049068641400723,8.080993633779883,8.108316878898119
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=last/encoding=adaptive_u32,median,0.95,9.172597442935697,9.21373636816395,9.239418973984527
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=missing/encoding=adaptive_u32,median,0.95,8.949551023767906,8.984372033922257,9.023980298816195
