benchmark_id,query_surface,label_count,request,request_shape,selectivity,degree,depth,csr_direction,encoding,csr_type_bytes_one_direction,latency_median_ns,latency_ci_lower_ns,latency_ci_upper_ns,throughput_per_second
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=first/encoding=adaptive_u16,filter_request,65534,first,,,,,,adaptive_u16,,58.712952120658144,58.36410075581223,59.06780098065539,17032017.023176562
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=last/encoding=adaptive_u16,filter_request,65534,last,,,,,,adaptive_u16,,59.36772899680636,59.050747398802486,59.65927468186211,16844167.983144414
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=missing/encoding=adaptive_u16,filter_request,65534,missing,,,,,,adaptive_u16,,44.37116142474743,44.035359340053645,44.64383591886306,22537160.801976737
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=32_labels/encoding=adaptive_u32,filter_request,65535,32_labels,,,,,,adaptive_u32,,695.7714138624499,691.6976700398384,701.2238911529018,1437253.6440505364
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=first/encoding=adaptive_u32,filter_request,65535,first,,,,,,adaptive_u32,,58.268954310909585,57.8215638560055,58.71408889790891,17161797.595752835
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=last/encoding=adaptive_u32,filter_request,65535,last,,,,,,adaptive_u32,,59.40744600854609,59.09164067566141,59.93382832678593,16832906.768221352
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=missing/encoding=adaptive_u32,filter_request,65535,missing,,,,,,adaptive_u32,,44.17579471854279,44.09305123588035,44.370570639184734,22636831.015068304
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=32_labels/encoding=adaptive_u32,filter_request,65536,32_labels,,,,,,adaptive_u32,,676.4001609781775,672.1954589742134,679.2550017027073,1478414.7871192815
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=first/encoding=adaptive_u32,filter_request,65536,first,,,,,,adaptive_u32,,57.65872010874182,56.99874022330778,58.5106768071663,17343430.414585058
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=last/encoding=adaptive_u32,filter_request,65536,last,,,,,,adaptive_u32,,58.122917713268386,57.89661795956391,58.61406206057751,17204917.429183334
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=missing/encoding=adaptive_u32,filter_request,65536,missing,,,,,,adaptive_u32,,43.69642704471532,43.455934890299,44.27831411866836,22885166.30837305
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=bounded_4096/encoding=adaptive_u8,filter_resolution,254,,bounded_4096,,,,,adaptive_u8,,4950.62677031163,4925.575363701408,4980.527667512643,201994.62540720927
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=empty/encoding=adaptive_u8,filter_resolution,254,,empty,,,,,adaptive_u8,,5.311289708870282,5.301836586854093,5.322908880132828,188278187.56147295
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=one_exact/encoding=adaptive_u8,filter_resolution,254,,one_exact,,,,,adaptive_u8,,59.02741270804715,58.59389275788263,59.82131255673778,16941281.247512158
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=bounded_4096/encoding=adaptive_u16,filter_resolution,255,,bounded_4096,,,,,adaptive_u16,,5058.389962764451,5041.739003096953,5076.336451331399,197691.36174971607
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=empty/encoding=adaptive_u16,filter_resolution,255,,empty,,,,,adaptive_u16,,5.330846475092175,5.3117367054366085,5.339359731697838,187587469.39578843
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=one_exact/encoding=adaptive_u16,filter_resolution,255,,one_exact,,,,,adaptive_u16,,58.60987981609246,58.181877520841084,59.04415317728325,17061969.81017236
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=bounded_4096/encoding=adaptive_u16,filter_resolution,65534,,bounded_4096,,,,,adaptive_u16,,115042.4637254902,114678.15950226245,115637.76189309057,8692.442491375712
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=empty/encoding=adaptive_u16,filter_resolution,65534,,empty,,,,,adaptive_u16,,5.311570413952046,5.296106152581276,5.3287919751274595,188268237.4638719
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=one_exact/encoding=adaptive_u16,filter_resolution,65534,,one_exact,,,,,adaptive_u16,,60.03852468106622,58.92435136551718,60.478388220118795,16655972.233031243
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=bounded_4096/encoding=adaptive_u32,filter_resolution,65535,,bounded_4096,,,,,adaptive_u32,,114369.81713340839,113707.3963737094,115364.47355734378,8743.565610789909
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=empty/encoding=adaptive_u32,filter_resolution,65535,,empty,,,,,adaptive_u32,,5.324210374098443,5.301792519862775,5.343121833310221,187821278.6002716
