query_surface,label_count,sample_index,elapsed_ns,result_digest
gql,254,3,13929000,c81e728d9d4c2f636f067f89cc14862c
gql,254,4,14329000,c81e728d9d4c2f636f067f89cc14862c
gql,254,5,14073000,c81e728d9d4c2f636f067f89cc14862c
gql,254,6,15390000,c81e728d9d4c2f636f067f89cc14862c
gql,254,7,14705000,c81e728d9d4c2f636f067f89cc14862c
gql,254,8,15430000,c81e728d9d4c2f636f067f89cc14862c
gql,254,9,15452000,c81e728d9d4c2f636f067f89cc14862c
gql,254,10,15432000,c81e728d9d4c2f636f067f89cc14862c
gql,254,11,15361000,c81e728d9d4c2f636f067f89cc14862c
gql,254,12,14644000,c81e728d9d4c2f636f067f89cc14862c
gql,254,13,14366000,c81e728d9d4c2f636f067f89cc14862c
gql,254,14,14237000,c81e728d9d4c2f636f067f89cc14862c
gql,254,15,14423000,c81e728d9d4c2f636f067f89cc14862c
gql,254,16,14778000,c81e728d9d4c2f636f067f89cc14862c
gql,254,17,14568000,c81e728d9d4c2f636f067f89cc14862c
gql,254,18,15844000,c81e728d9d4c2f636f067f89cc14862c
gql,254,19,15530000,c81e728d9d4c2f636f067f89cc14862c
gql,254,20,15206000,c81e728d9d4c2f636f067f89cc14862c
gql,254,21,14853000,c81e728d9d4c2f636f067f89cc14862c
gql,254,22,14173000,c81e728d9d4c2f636f067f89cc14862c
gql,254,23,14321000,c81e728d9d4c2f636f067f89cc14862c
gql,254,24,15390000,c81e728d9d4c2f636f067f89cc14862c
gql,254,25,15644000,c81e728d9d4c2f636f067f89cc14862c
gql,254,26,15516000,c81e728d9d4c2f636f067f89cc14862c
gql,254,27,15711000,c81e728d9d4c2f636f067f89cc14862c
gql,254,28,14932000,c81e728d9d4c2f636f067f89cc14862c
gql,254,29,15097000,c81e728d9d4c2f636f067f89cc14862c
gql,254,30,14687000,c81e728d9d4c2f636f067f89cc14862c
gql,254,31,14333000,c81e728d9d4c2f636f067f89cc14862c
gql,254,32,14472000,c81e728d9d4c2f636f067f89cc14862c
gql,254,33,14479000,c81e728d9d4c2f636f067f89cc14862c
gql,254,34,14791000,c81e728d9d4c2f636f067f89cc14862c
gql,254,35,14746000,c81e728d9d4c2f636f067f89cc14862c
gql,254,36,14765000,c81e728d9d4c2f636f067f89cc14862c
gql,254,37,15986000,c81e728d9d4c2f636f067f89cc14862c
gql,254,38,15410000,c81e728d9d4c2f636f067f89cc14862c
