case_name,strategy,selected_strategy,selector_class,key_shape,rls_scope,policy_shape,query_kind,sample,total_ms,result_rows,result_signature,visibility_us,hidden_nodes,hidden_relationships,spi_calls,requested_keys,returned_keys,requested_key_bytes,returned_key_bytes,source_rows,memory_peak_bytes,work_units,relationship_completeness_checks,gql_read_recheck_calls,gql_read_recheck_rows,gql_read_recheck_elapsed_micros
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,1,126.31,1,ae8d9ca16bb0441cf540799009d32815,123600,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,2,128.011,1,ae8d9ca16bb0441cf540799009d32815,125126,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,3,126.443,1,ae8d9ca16bb0441cf540799009d32815,123513,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,4,126.354,1,ae8d9ca16bb0441cf540799009d32815,123550,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,5,128.568,1,ae8d9ca16bb0441cf540799009d32815,125612,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,6,123.883,1,ae8d9ca16bb0441cf540799009d32815,120985,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,7,132.958,1,ae8d9ca16bb0441cf540799009d32815,130092,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,8,130.596,1,ae8d9ca16bb0441cf540799009d32815,126937,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,9,125.673,1,ae8d9ca16bb0441cf540799009d32815,122730,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,10,127.843,1,ae8d9ca16bb0441cf540799009d32815,125052,0,0,3,3,3,9,9,3,8738894,14,1,0,0,0
