case_name,strategy,selected_strategy,selector_class,key_shape,rls_scope,policy_shape,query_kind,samples,p50_ms,p95_ms,p50_visibility_ms,p95_visibility_ms,result_rows,result_signature,hidden_nodes,hidden_relationships,min_spi_calls,max_spi_calls,min_requested_keys,max_requested_keys,min_returned_keys,max_returned_keys,min_requested_key_bytes,max_requested_key_bytes,min_returned_key_bytes,max_returned_key_bytes,min_source_rows,max_source_rows,max_memory_peak_bytes,max_work_units,max_relationship_completeness_checks,max_gql_read_recheck_calls,max_gql_read_recheck_rows,max_gql_read_recheck_elapsed_micros
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,10,127.143,131.8951,124.326,128.67225,1,ae8d9ca16bb0441cf540799009d32815,0,0,3,3,3,3,3,3,9,9,9,9,3,3,8738894,14,1,0,0,0
p5_gql_identity_one_hop_eager_oracle,eager,eager,targeted,scalar,node,broad_allow,gql_identity_one_hop,10,3132.9615000000003,3448.5605499999997,3003.7665,3321.0622999999996,1,ae8d9ca16bb0441cf540799009d32815,0,0,0,0,0,0,0,0,0,0,0,0,3000000,3000000,179904896,9000014,2,1,1,58772
p5_gql_whole_source_auto,auto,eager,global,scalar,node,sparse_allow,gql_whole_source,10,1939.569,1990.8059,1776.246,1807.98625,10,97f3732e78e00f679dcf2792a79f4562,1980000,990000,0,0,0,0,0,0,0,0,0,0,30000,30000,168047964,6030068,1,1,10,187018
p5_no_rls_auto,auto,lazy,targeted,scalar,none,no_rls,gql_identity_one_hop,10,34.989999999999995,43.75315,0.0065,0.008,1,ae8d9ca16bb0441cf540799009d32815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8738894,17,1,1,1,42715
